Year  Arctic Basin,  North Beaufort Sea,  South Beaufort Sea,  Chukchi Sea,  Laptev Sea,  Kara Sea,  Barents Sea,  East Greenland,  Queen Elizabeth,  Norwegian Bay,  Kane Basin,  Viscount Melville Sound,  Lancaster Sound,  Baffin Bay,  McClintock Channel,  Gulf of Boothia,  Foxe Basin,  West Hudson Bay,  South Hudson Bay,  Davis Strait, 
2007,   0.0,   0.0,  112.0,  134.0,  83.0,  96.0,  98.0,   0.0,   0.0,   0.0,  46.0,   0.0,  52.0,  115.0,  67.0,  68.0,  126.0,  150.0,  157.0,  172.0, 
2008,   0.0,   0.0,  111.0,  87.0,  43.0,  84.0,  56.0,  59.0,   0.0,   0.0,  43.0,   0.0,  28.0,  115.0,  35.0,  63.0,  112.0,  144.0,  149.0,  178.0, 
2009,   0.0,   0.0,  119.0,  119.0,  57.0,  106.0,  87.0,   0.0,   0.0,   0.0,  104.0,   0.0,   0.0,  117.0,   0.0,  32.0,  117.0,  136.0,  148.0,  184.0, 
2010,   0.0,   0.0,  103.0,  94.0,  36.0,  95.0,  114.0,  48.0,   0.0,   0.0,  38.0,   0.0,  44.0,  126.0,  40.0,  30.0,  153.0,  158.0,  171.0,  232.0, 
2011,   0.0,   0.0,  116.0,  115.0,  59.0,  116.0,  121.0,   0.0,   0.0,  22.0,  60.0,  21.0,  58.0,  109.0,  59.0,  69.0,  137.0,  165.0,  160.0,  210.0, 
2012,   0.0,   0.0,  123.0,  86.0,  74.0,  147.0,  156.0,  10.0,   0.0,  32.0,  46.0,   7.0,  68.0,  138.0,  72.0,  44.0,  133.0,  147.0,  155.0,  186.0, 
2013,   0.0,   0.0,  106.0,  90.0,  26.0,  92.0,  150.0,  77.0,   0.0,   0.0,  26.0,   0.0,   0.0,  123.0,  29.0,  11.0,  117.0,  152.0,  151.0,  175.0, 
2014,   0.0,   0.0,  117.0,  109.0,  63.0,  77.0,   0.0,  58.0,   0.0,   0.0,  65.0,   0.0,   0.0,  133.0,   0.0,  22.0,  115.0,  149.0,  151.0,  182.0, 
2015,   0.0,   0.0,  109.0,  125.0,  57.0,  102.0,  130.0,  30.0,   0.0,   0.0,   0.0,   0.0,  36.0,  112.0,  37.0,  40.0,  104.0,  177.0,  141.0,  165.0, 
2016,   0.0,   0.0,  125.0,  102.0,  46.0,  150.0,  192.0,  51.0,   0.0,   0.0,  42.0,   0.0,  29.0,  130.0,  60.0,  65.0,  136.0,  153.0,  159.0,  177.0, 
2017,   0.0,   0.0,  130.0,  139.0,  42.0,  96.0,  101.0,  89.0,   0.0,   0.0,  24.0,   0.0,   9.0,  111.0,  29.0,  44.0,  129.0,  144.0,  160.0,  187.0, 
2018,   0.0,   0.0,  59.0,  110.0,  68.0,  110.0,  161.0,  65.0,   0.0,   0.0,   0.0,   0.0,   0.0,  104.0,   0.0,  23.0,  104.0,  148.0,  143.0,  164.0, 
2019,   0.0,   0.0,  151.0,  136.0,  82.0,  111.0,  67.0,  52.0,   0.0,   0.0,  51.0,   0.0,   0.0,  142.0,  34.0,  84.0,  144.0,  137.0,  146.0,  205.0, 
2020,   0.0,   0.0,  101.0,  126.0,  107.0,  122.0,  146.0,  32.0,   0.0,   0.0,  58.0,   0.0,  20.0,  129.0,   7.0,  77.0,  134.0,  126.0,  141.0,  190.0, 
